firstname, surname, year, category, motivation, country
Craig C.,Mello,2006,medicine,"for their discovery of RNA interference - gene silencing by double-stranded RNA",USA
Thomas Huckle,Weller,1954,medicine,"for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",USA
John Franklin,Enders,1954,medicine,"for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",USA
John Franklin,Enders,1954,medicine,"for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",USA
Frederick Chapman,Robbins,1954,medicine,"for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue",USA
Barry J.,Marshall,2005,medicine,"for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease",Australia
J. Robin,Warren,2005,medicine,"for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease",Australia
Barry J.,Marshall,2005,medicine,"for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease",Australia
J. Michael,Bishop,1989,medicine,"for their discovery of the cellular origin of retroviral oncogenes",USA
Harold E.,Varmus,1989,medicine,"for their discovery of the cellular origin of retroviral oncogenes",USA
Carl Ferdinand,Cori,1947,medicine,"for their discovery of the course of the catalytic conversion of glycogen",USA
Severo,Ochoa,1959,medicine,"for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid",USA
Arthur,Kornberg,1959,medicine,"for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid",USA
Edward Lawrie,Tatum,1958,medicine,"for their discovery that genes act by regulating definite chemical events",USA
George Wells,Beadle,1958,medicine,"for their discovery that genes act by regulating definite chemical events",USA
Marshall W.,Nirenberg,1968,medicine,"for their interpretation of the genetic code and its function in protein synthesis",USA
Robert W.,Holley,1968,medicine,"for their interpretation of the genetic code and its function in protein synthesis",USA
Har Gobind,Khorana,1968,medicine,"for their interpretation of the genetic code and its function in protein synthesis",USA
Georges J.F.,K_hler,1984,medicine,"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",Switzerland
Niels K.,Jerne,1984,medicine,"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",Switzerland
C_sar,Milstein,1984,medicine,"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies",Kingdom
